2020-01-23	0	0
2020-01-24	1	0
2020-01-25	0	0
2020-01-26	3	0
2020-01-27	0	0
2020-01-28	0	0
2020-01-29	1	0
2020-01-30	0	0
2020-01-31	2	0
2020-02-01	0	0
2020-02-02	0	0
2020-02-03	3	0
2020-02-04	0	0
2020-02-05	0	0
2020-02-06	1	0
2020-02-07	0	0
2020-02-08	0	0
2020-02-09	0	0
2020-02-10	0	0
2020-02-11	1	0
2020-02-12	0	0
2020-02-13	1	0
2020-02-14	0	0
2020-02-15	0	0
2020-02-16	0	0
2020-02-17	0	0
2020-02-18	0	0
2020-02-19	0	0
2020-02-20	0	0
2020-02-21	2	0
2020-02-22	0	0
2020-02-23	0	0
2020-02-24	0	0
2020-02-25	0	0
2020-02-26	0	0
2020-02-27	1	0
2020-02-28	0	0
2020-02-29	8	1
2020-03-01	7	0
2020-03-02	23	5
2020-03-03	19	1
2020-03-04	33	4
2020-03-05	77	1
2020-03-06	53	2
2020-03-07	166	3
2020-03-08	116	4
2020-03-09	75	1
2020-03-10	188	6
2020-03-11	365	5
2020-03-12	439	10
2020-03-13	633	8
2020-03-14	759	7
2020-03-15	234	12
2020-03-16	1467	27
2020-03-17	1833	36
2020-03-18	2657	59
2020-03-19	4494	72
2020-03-20	6367	103
2020-03-21	5995	99
2020-03-22	8830	110
2020-03-23	11231	187
2020-03-24	10612	241
2020-03-25	12075	326
2020-03-26	17840	412
2020-03-27	18680	521
2020-03-28	19607	635
2020-03-29	18879	592
2020-03-30	22082	697
2020-03-31	26316	1091
2020-04-01	32241	1261
2020-04-02	32218	1496
2020-04-03	32270	1407
2020-04-04	32412	1547
2020-04-05	29885	1581
2020-04-06	31410	1756
2020-04-07	30769	2574
2020-04-08	31198	2143
2020-04-09	35954	2206
2020-04-10	34408	2218
2020-04-11	29177	2132
2020-04-12	27281	1820
2020-04-13	26910	1962
2020-04-14	28772	2443
2020-04-15	25431	2598
2020-04-16	30035	2160
2020-04-17	32719	2091
2020-04-18	27956	1973
2020-04-19	26193	1938
2020-04-20	29796	2196
2020-04-21	25834	2538
2020-04-22	28772	2428
2020-04-23	33568	2456
2020-04-24	32272	2160
2020-04-25	30442	1706
2020-04-26	26580	1350
2020-04-27	23618	1464
2020-04-28	24448	2224
2020-04-29	26390	2519
2020-04-30	29167	2403
2020-05-01	34916	1888
2020-05-02	27420	1705
2020-05-03	24456	1118
2020-05-04	23976	1324
2020-05-05	24472	2287
2020-05-06	24510	2349
2020-05-07	27365	1919
2020-05-08	26806	1749
2020-05-09	25190	1532
2020-05-10	18967	911
2020-05-11	19185	1000
2020-05-12	22857	1618
2020-05-13	20389	1742
2020-05-14	26913	1781
2020-05-15	24700	1670
2020-05-16	24161	1272
2020-05-17	18482	763
2020-05-18	22234	1176
2020-05-19	20939	1501
2020-05-20	22734	1515
2020-05-21	25687	1207
2020-05-22	23590	1245
2020-05-23	21244	1147
2020-05-24	20180	608
2020-05-25	18766	559
2020-05-26	19506	663
2020-05-27	18394	1500
2020-05-28	22209	1167
2020-05-29	24459	1167
2020-05-30	23679	950
2020-05-31	19074	694
2020-06-01	17437	781
2020-06-02	21374	1040
2020-06-03	19702	994
2020-06-04	21547	1018
2020-06-05	25475	888
2020-06-06	21273	703
2020-06-07	17901	450
2020-06-08	17516	507
2020-06-09	18179	921
2020-06-10	21011	893
2020-06-11	23071	853
2020-06-12	24738	818
2020-06-13	25124	772
2020-06-14	19094	315
2020-06-15	19636	387
2020-06-16	23357	821
2020-06-17	26617	741
2020-06-18	27931	689
2020-06-19	31197	662
2020-06-20	32182	605
2020-06-21	25273	299
2020-06-22	31388	389
2020-06-23	36144	841
2020-06-24	34869	757
2020-06-25	39814	542
2020-06-26	45503	629
2020-06-27	41223	508
2020-06-28	40443	292
2020-06-29	40648	391
2020-06-30	46036	632
2020-07-01	51419	697
2020-07-02	56295	733
2020-07-03	51120	662
2020-07-04	45785	293
2020-07-05	51018	304
2020-07-06	42898	363
2020-07-07	60597	1200
2020-07-08	60300	857
2020-07-09	62834	1005
2020-07-10	67902	813
2020-07-11	60859	711
2020-07-12	58730	465
2020-07-13	58506	427
2020-07-14	68180	928
2020-07-15	68107	968
2020-07-16	75815	962
2020-07-17	71800	919
2020-07-18	62680	870
2020-07-19	60719	470
2020-07-20	62012	544
2020-07-21	64841	1123
2020-07-22	70776	1218
2020-07-23	68848	1097
2020-07-24	73457	1153
2020-07-25	64964	880
2020-07-26	55109	521
2020-07-27	56421	1132
2020-07-28	66306	1361
2020-07-29	71812	1422
2020-07-30	67574	1224
2020-07-31	68656	1263
2020-08-01	56365	1096
2020-08-02	45899	414
2020-08-03	45601	565
2020-08-04	58598	1357
2020-08-05	54104	1397
2020-08-06	59685	1226
2020-08-07	58816	1233
2020-08-08	54345	1079
2020-08-09	46021	536
2020-08-10	48460	553
2020-08-11	47009	1038
2020-08-12	56880	1512
2020-08-13	51948	1059
2020-08-14	65788	1332
2020-08-15	46864	1030
2020-08-16	39728	577
2020-08-17	36627	458
2020-08-18	45065	1302
2020-08-19	47413	1319
2020-08-20	43972	1083
2020-08-21	48803	1092
2020-08-22	43409	970
2020-08-23	34333	458
2020-08-24	36732	453
2020-08-25	40194	1215
2020-08-26	45507	1227
2020-08-27	45297	1100
2020-08-28	47077	964
2020-08-29	42970	898
2020-08-30	34613	443
2020-08-31	35329	539
2020-09-01	41711	1050
2020-09-02	41069	1045
2020-09-03	43856	1058
2020-09-04	50316	960
2020-09-05	43142	774
2020-09-06	31460	413
2020-09-07	23525	286
2020-09-08	27344	454
2020-09-09	33765	1157
2020-09-10	36156	916
2020-09-11	47596	1196
2020-09-12	41120	719
2020-09-13	34367	396
2020-09-14	34159	414
2020-09-15	39400	1286
2020-09-16	38496	983
2020-09-17	45135	864
2020-09-18	49174	918
2020-09-19	42223	713
2020-09-20	38394	250
2020-09-21	51788	427
2020-09-22	39552	1016
2020-09-23	38877	1081
2020-09-24	46786	924
2020-09-25	48158	928
2020-09-26	44651	755
2020-09-27	37662	291
2020-09-28	33073	335
2020-09-29	43046	878
2020-09-30	39267	946
2020-10-01	45541	853
2020-10-02	54755	927
2020-10-03	48702	687
2020-10-04	35930	357
2020-10-05	39305	462
2020-10-06	44920	702
2020-10-07	50817	914
2020-10-08	58356	968
2020-10-09	56213	958
2020-10-10	54977	635
2020-10-11	46026	429
2020-10-12	41703	352
2020-10-13	51998	786
2020-10-14	59570	995
2020-10-15	64663	813
2020-10-16	68925	903
2020-10-17	56587	754
2020-10-18	49383	446
2020-10-19	67632	463
2020-10-20	61804	918
2020-10-21	63059	1162
2020-10-22	76132	869
2020-10-23	81601	952
2020-10-24	82853	942
2020-10-25	62164	393
2020-10-26	67146	492
2020-10-27	76565	963
2020-10-28	79059	1010
2020-10-29	90689	967
2020-10-30	98993	1031
2020-10-31	89673	892
2020-11-01	104754	431
2020-11-02	84888	546
2020-11-03	126721	1561
2020-11-04	104123	1094
2020-11-05	128786	1140
2020-11-06	127569	1189
2020-11-07	127259	1010
2020-11-08	115328	495
2020-11-09	120123	704
2020-11-10	139951	1377
2020-11-11	146049	1420
2020-11-12	163974	1176
2020-11-13	179830	1176
2020-11-14	167891	1262
2020-11-15	136330	647
2020-11-16	161780	749
2020-11-17	162581	1681
2020-11-18	172332	1878
2020-11-19	190326	1975
2020-11-20	197904	1885
2020-11-21	179192	1480
2020-11-22	146568	883
2020-11-23	173925	950
2020-11-24	174192	2115
2020-11-25	182246	2279
2020-11-26	112724	1234
2020-11-27	207314	1428
2020-11-28	155866	1232
2020-11-29	140198	842
2020-11-30	158635	1199
2020-12-01	186080	2561
2020-12-02	200687	2784
2020-12-03	220900	2849
2020-12-04	230648	2613
2020-12-05	214982	2202
2020-12-06	181622	1125
2020-12-07	193257	1455
2020-12-08	222133	2550
2020-12-09	220675	3055
2020-12-10	228765	2886
2020-12-11	238035	3312
2020-12-12	216456	2296
2020-12-13	188874	1379
2020-12-14	192068	1485
2020-12-15	207407	3062
2020-12-16	245783	3672
2020-12-17	237223	3346
2020-12-18	250217	2795
2020-12-19	192528	2486
2020-12-20	189744	1495
2020-12-21	197873	1787
2020-12-22	195033	3373
2020-12-23	229260	3354
2020-12-24	194182	2867
2020-12-25	101622	1176
2020-12-26	224761	1641
2020-12-27	156926	1214
2020-12-28	171308	1841
2020-12-29	196174	3663
2020-12-30	231716	3749
2020-12-31	231470	3413
2021-01-01	158550	2023
2021-01-02	298031	2328
2021-01-03	209506	1347
2021-01-04	181072	1993
2021-01-05	230428	3749
2021-01-06	251783	3888
2021-01-07	275026	3949
2021-01-08	292726	4035
2021-01-09	264620	3249
2021-01-10	216290	1821
2021-01-11	213304	2006
2021-01-12	225423	4462
2021-01-13	230166	3963
2021-01-14	235561	3929
2021-01-15	241576	3802
2021-01-16	202758	3352
2021-01-17	177918	1749
2021-01-18	141999	1403
2021-01-19	177256	2769
2021-01-20	182695	4375
2021-01-21	193165	4202
2021-01-22	189925	3758
2021-01-23	172650	3332
2021-01-24	132537	1775
